time,cell_ID,sum_pix_intensity_cyto,sum_pix_intensity_nuclei,cell sizes,nucleus sizes,Particles in cytosol,Particles in nucleus,protein concentrations (AU),image_name
1,2.0,881189,422137,7920,2572,11.0,4.0,85.8362004487659,rep1_FOV2.tif
1,3.0,1237498,434466,8425,2656,20.0,4.0,139.19778124458313,rep1_FOV2.tif
1,4.0,749360,422979,7541,2577,10.0,4.0,65.74959709911361,rep1_FOV2.tif
1,5.0,601306,471613,7478,2858,4.0,1.0,28.072077922077924,rep1_FOV2.tif
1,6.0,709357,467888,6754,2829,14.0,6.0,61.52076433121019,rep1_FOV2.tif
1,7.0,525470,434589,7094,2640,0.0,0.0,20.404355635383926,rep1_FOV2.tif
1,8.0,512813,429945,7361,2615,3.0,3.0,17.460598398651495,rep1_FOV2.tif
1,9.0,754746,467592,6751,2840,12.0,7.0,73.4221426745078,rep1_FOV2.tif
1,10.0,809045,419548,7370,2552,11.0,4.0,80.8420506434205,rep1_FOV2.tif
1,11.0,491041,444581,6972,2682,7.0,4.0,10.82983682983683,rep1_FOV2.tif
2,1.0,750454,437593,7830,2648,2.0,0.0,60.37456580470861,rep1_FOV2.tif
2,2.0,822209,423402,7944,2575,7.0,3.0,74.27956788973738,rep1_FOV2.tif
2,3.0,1174700,434413,8434,2651,18.0,5.0,128.01089399965417,rep1_FOV2.tif
2,4.0,693435,420754,7520,2570,7.0,4.0,55.08707070707071,rep1_FOV2.tif
2,5.0,627755,468210,7497,2837,8.0,5.0,34.237124463519315,rep1_FOV2.tif
2,6.0,753968,464291,6760,2817,21.0,9.0,73.46614253106772,rep1_FOV2.tif
2,7.0,496273,429919,7086,2641,0.0,0.0,14.927784026996626,rep1_FOV2.tif
2,8.0,485519,431240,7340,2616,2.0,1.0,11.490050804403047,rep1_FOV2.tif
2,9.0,774403,466380,6751,2832,14.0,6.0,78.59734626180148,rep1_FOV2.tif
2,10.0,795319,415073,7360,2545,13.0,3.0,78.9711318795431,rep1_FOV2.tif
2,11.0,550705,436571,6966,2672,13.0,6.0,26.5798789007918,rep1_FOV2.tif
3,1.0,691263,437166,7842,2647,4.0,3.0,48.91183830606352,rep1_FOV2.tif
3,2.0,731605,421567,7888,2580,5.0,2.0,58.40957045968349,rep1_FOV2.tif
3,3.0,1139630,434676,8457,2658,11.0,2.0,121.56475254354199,rep1_FOV2.tif
3,4.0,714121,424684,7532,2566,15.0,5.0,58.28372935964559,rep1_FOV2.tif
3,5.0,650365,470674,7488,2873,12.0,5.0,38.93629469122427,rep1_FOV2.tif
3,6.0,845887,464284,6795,2818,20.0,8.0,95.95247674126226,rep1_FOV2.tif
3,7.0,490305,434679,7074,2642,0.0,0.0,12.550992779783394,rep1_FOV2.tif
3,8.0,525503,429096,7359,2614,7.0,4.0,20.31759747102213,rep1_FOV2.tif
3,9.0,783880,468602,6804,2845,11.0,5.0,79.63576660772922,rep1_FOV2.tif
3,10.0,782837,415875,7376,2548,11.0,4.0,76.00704225352112,rep1_FOV2.tif
3,11.0,662508,442747,7008,2684,16.0,8.0,50.82354301572618,rep1_FOV2.tif
4,1.0,655695,437798,7799,2644,7.0,4.0,42.26905916585839,rep1_FOV2.tif
4,2.0,681572,422235,7878,2575,4.0,1.0,48.90382802187441,rep1_FOV2.tif
4,3.0,1058736,435124,8389,2640,10.0,2.0,108.47312576100191,rep1_FOV2.tif
4,4.0,776625,419937,7545,2564,16.0,6.0,71.60971692431238,rep1_FOV2.tif
4,5.0,732345,466945,7504,2852,12.0,4.0,57.05073086844368,rep1_FOV2.tif
4,6.0,877419,462967,6796,2817,17.0,5.0,104.15983915556673,rep1_FOV2.tif
4,7.0,467355,431834,7062,2638,0.0,0.0,8.029159132007234,rep1_FOV2.tif
4,8.0,584096,427779,7365,2616,15.0,6.0,32.91577174141925,rep1_FOV2.tif
4,9.0,814531,469441,6811,2843,10.0,2.0,86.96824596774194,rep1_FOV2.tif
4,10.0,770519,418799,7371,2551,8.0,3.0,72.97095435684648,rep1_FOV2.tif
4,11.0,790729,442554,7019,2682,20.0,5.0,80.28014756744294,rep1_FOV2.tif
5,1.0,637461,434652,7738,2653,8.0,5.0,39.88377581120944,rep1_FOV2.tif
5,2.0,655894,423329,7872,2583,7.0,4.0,43.971450179618074,rep1_FOV2.tif
5,4.0,776670,421958,7556,2575,10.0,6.0,71.21300943585625,rep1_FOV2.tif
5,5.0,762482,469287,7504,2860,15.0,8.0,63.13415159345392,rep1_FOV2.tif
5,6.0,826807,459524,6793,2799,11.0,6.0,91.95868803204807,rep1_FOV2.tif
5,7.0,468576,433093,7071,2637,0.0,0.0,8.002480829950384,rep1_FOV2.tif
5,8.0,672747,426863,7388,2617,21.0,12.0,51.537203940473695,rep1_FOV2.tif
5,9.0,821430,467695,6810,2847,5.0,0.0,89.259399444865,rep1_FOV2.tif
5,10.0,745236,420585,7378,2549,9.0,2.0,67.22944709049493,rep1_FOV2.tif
5,11.0,886886,443773,7019,2683,22.0,9.0,102.19395756457564,rep1_FOV2.tif
6,1.0,613191,435590,7792,2655,12.0,9.0,34.572902472260076,rep1_FOV2.tif
6,2.0,641329,421431,7853,2577,9.0,6.0,41.678923426838516,rep1_FOV2.tif
6,4.0,735996,418355,7535,2560,10.0,5.0,63.84743718592965,rep1_FOV2.tif
6,5.0,756358,467660,7504,2850,9.0,5.0,62.03223033949291,rep1_FOV2.tif
6,6.0,729349,460175,6789,2805,13.0,8.0,67.56375502008032,rep1_FOV2.tif
6,7.0,467919,431376,7118,2645,2.0,2.0,8.169684775318578,rep1_FOV2.tif
6,8.0,702195,427834,7382,2593,14.0,9.0,57.28983086239298,rep1_FOV2.tif
6,9.0,742634,463429,6797,2840,5.0,0.0,70.55976750063179,rep1_FOV2.tif
