time,cell_ID,sum_pix_intensity_cyto,sum_pix_intensity_nuclei,cell sizes,nucleus sizes,Particles in cytosol,Particles in nucleus,protein concentrations (AU),image_name
17,5.0,518615,444413,8059,2702,2.0,2.0,13.851409370916558,rep1_FOV1.tif
17,6.0,491478,457501,7485,2751,1.0,1.0,7.177228559357837,rep1_FOV1.tif
17,7.0,493212,444530,7538,2708,1.0,0.0,10.079089026915113,rep1_FOV1.tif
17,8.0,566646,457245,8224,2784,3.0,2.0,20.11047794117647,rep1_FOV1.tif
17,9.0,496837,433505,7547,2623,2.0,2.0,12.861900893582453,rep1_FOV1.tif
17,11.0,477650,425359,7451,2582,0.0,0.0,10.739576915177654,rep1_FOV1.tif
17,12.0,544369,410783,7953,2485,2.0,1.0,24.43050475493782,rep1_FOV1.tif
17,13.0,541648,439780,8325,2691,1.0,1.0,18.08093716719915,rep1_FOV1.tif
17,14.0,484675,413831,7489,2517,1.0,1.0,14.248592115848753,rep1_FOV1.tif
18,1.0,470631,421247,7369,2553,0.0,0.0,10.254152823920267,rep1_FOV1.tif
18,2.0,526337,460155,7929,2788,2.0,1.0,12.873370939505932,rep1_FOV1.tif
18,3.0,474950,406941,7354,2480,0.0,0.0,13.953426343865408,rep1_FOV1.tif
18,4.0,494968,429474,7202,2622,2.0,2.0,14.3,rep1_FOV1.tif
18,5.0,537894,443800,8075,2690,5.0,4.0,17.473351903435468,rep1_FOV1.tif
18,6.0,485072,454750,7468,2753,1.0,1.0,6.430965005302227,rep1_FOV1.tif
18,7.0,492275,445730,7500,2723,0.0,0.0,9.743562905589283,rep1_FOV1.tif
18,8.0,575148,460013,8216,2792,4.0,3.0,21.226954277286136,rep1_FOV1.tif
18,9.0,498112,431500,7573,2621,1.0,1.0,13.451534733441035,rep1_FOV1.tif
18,11.0,473945,423762,7455,2585,0.0,0.0,10.304517453798768,rep1_FOV1.tif
18,12.0,519803,413230,7952,2492,0.0,0.0,19.518864468864468,rep1_FOV1.tif
18,13.0,532995,440546,8309,2684,3.0,3.0,16.435377777777777,rep1_FOV1.tif
18,14.0,478273,412864,7486,2515,2.0,1.0,13.15811707905854,rep1_FOV1.tif
19,1.0,467968,417698,7298,2557,0.0,0.0,10.60324825986079,rep1_FOV1.tif
19,2.0,551498,450615,7929,2778,3.0,2.0,19.58512910114541,rep1_FOV1.tif
19,3.0,470797,412210,7352,2479,0.0,0.0,12.02277857582598,rep1_FOV1.tif
19,4.0,483674,431515,7173,2621,2.0,1.0,11.458479789103691,rep1_FOV1.tif
19,5.0,537206,439574,8080,2694,2.0,2.0,18.126995915336057,rep1_FOV1.tif
19,6.0,481559,453936,7473,2752,1.0,1.0,5.851090870578267,rep1_FOV1.tif
19,7.0,489875,449391,7550,2728,0.0,0.0,8.395686437163002,rep1_FOV1.tif
19,8.0,575871,459563,8229,2801,1.0,1.0,21.427413411938097,rep1_FOV1.tif
19,9.0,499435,433770,7563,2627,3.0,1.0,13.303282009724473,rep1_FOV1.tif
19,11.0,482788,420330,7460,2586,1.0,0.0,12.814526056627,rep1_FOV1.tif
19,12.0,514204,403490,7953,2483,0.0,0.0,20.24021937842779,rep1_FOV1.tif
19,13.0,531020,439875,8323,2687,2.0,2.0,16.17193044712562,rep1_FOV1.tif
19,14.0,496286,412208,7504,2522,0.0,0.0,16.876354877559212,rep1_FOV1.tif
20,1.0,469409,421302,7314,2556,1.0,1.0,10.110760823875578,rep1_FOV1.tif
20,2.0,547535,460448,7928,2801,2.0,1.0,16.98595669982446,rep1_FOV1.tif
20,3.0,468369,407155,7359,2485,0.0,0.0,12.559294214197784,rep1_FOV1.tif
20,4.0,480249,431287,7197,2616,2.0,2.0,10.688059375682165,rep1_FOV1.tif
20,5.0,530708,441673,8070,2710,4.0,4.0,16.61100746268657,rep1_FOV1.tif
20,6.0,482723,453168,7478,2754,0.0,0.0,6.256350550381033,rep1_FOV1.tif
20,7.0,489427,449774,7559,2734,0.0,0.0,8.218238341968911,rep1_FOV1.tif
20,8.0,559419,460057,8235,2801,1.0,1.0,18.285241074714758,rep1_FOV1.tif
20,9.0,536876,428648,7643,2619,3.0,3.0,21.5421974522293,rep1_FOV1.tif
20,11.0,483806,425765,7460,2594,3.0,3.0,11.92786683107275,rep1_FOV1.tif
20,12.0,515253,408790,7953,2496,2.0,2.0,19.509437419827744,rep1_FOV1.tif
20,13.0,546638,441290,8325,2694,2.0,2.0,18.708577517314865,rep1_FOV1.tif
20,14.0,484850,411788,7498,2524,0.0,0.0,14.688781664656211,rep1_FOV1.tif
0,1.0,562374,424949,7538,2577,5.0,1.0,27.70106833299738,rep1_FOV2.tif
0,2.0,547815,419370,7627,2555,1.0,0.0,25.324329652996845,rep1_FOV2.tif
0,3.0,420179,409402,7530,2493,0.0,0.0,2.13956720270002,rep1_FOV2.tif
0,4.0,717609,433646,7228,2631,9.0,0.0,61.77137263432674,rep1_FOV2.tif
0,5.0,539599,436838,7110,2664,5.0,0.0,23.113135402609085,rep1_FOV2.tif
0,6.0,1513045,453185,7907,2773,21.0,0.0,206.4394234514998,rep1_FOV2.tif
0,7.0,874597,434587,7508,2686,12.0,0.0,91.25051845707175,rep1_FOV2.tif
0,8.0,829806,413472,8347,2529,15.0,0.0,71.55964248882778,rep1_FOV2.tif
0,9.0,360372,439977,6946,2661,0.0,0.0,1002307.5124854143,rep1_FOV2.tif
0,10.0,1039628,429254,8205,2618,13.0,0.0,109.24897082512976,rep1_FOV2.tif
1,1.0,573130,416877,7474,2560,4.0,1.0,31.7975172975173,rep1_FOV2.tif
1,2.0,529017,416678,7522,2541,2.0,1.0,22.553503312587832,rep1_FOV2.tif
1,3.0,391103,405208,7383,2475,0.0,0.0,875092.337204564,rep1_FOV2.tif
1,4.0,695747,430281,7159,2620,5.0,0.0,58.485569508702355,rep1_FOV2.tif
1,5.0,535240,436113,7067,2647,8.0,0.0,22.426923076923078,rep1_FOV2.tif
1,6.0,1356262,453664,7883,2759,19.0,0.0,176.15105386416863,rep1_FOV2.tif
